"track","task_id","file","type","description","guidelines","judge_candidate","reason","question"
"a","a-10-2","PRS_ROC_curve.png","png","FPR as x-axis, TPR as y-axis","ROC curve must show true positive rate vs. false positive rate for the PRS model; axis labels, colors, and styling may differ.",TRUE,"image: always needs scientific-content judging","Using the GWAS summary statistics and genotype data, calculate Polygenic Risk Scores (PRS) with PLINK. Evaluate the PRS predictive performance for the binary phenotype by plotting an ROC curve and computing the AUC value."
"a","a-10-4","DrugA_dose_response.png","png","drug concentration as x-axis, cell viability (%) as y-axis, sigmoid fit, IC50 annotated","Sigmoid dose-response curve with IC50 annotated; axis labels, colors, and styling may differ.",TRUE,"image: always needs scientific-content judging","Fit a sigmoid dose-response curve to the drug response data and calculate the IC50 for each drug. Plot the dose-response data with the fitted curve and annotate the IC50 value for each drug."
"a","a-10-4","DrugB_dose_response.png","png","drug concentration as x-axis, cell viability (%) as y-axis, sigmoid fit, IC50 annotated","Sigmoid dose-response curve with IC50 annotated; axis labels, colors, and styling may differ.",TRUE,"image: always needs scientific-content judging","Fit a sigmoid dose-response curve to the drug response data and calculate the IC50 for each drug. Plot the dose-response data with the fitted curve and annotate the IC50 value for each drug."
"a","a-11-1","ppi_network.png","png","network graph; nodes colored by type (query genes in red, interacting partners in light blue)","Node-edge network must match the reference; node sizing, layout, and color scheme may differ.",TRUE,"image: always needs scientific-content judging","Given a list of differentially expressed genes (DEGs), retrieve their protein-protein interactions from the STRING database and visualize the network."
"a","a-11-6","GO_BarPlot_Issy_ASXL1_blood.png","png","adjusted p-value as x-axis, GO term as y-axis","Bar plot of GO terms must match the reference in term identity and rank order; color scheme and styling may differ.",TRUE,"image: always needs scientific-content judging","Perform an overrepresentation analysis (ORA) of gene ontology (GO) terms based on the differential expression results between ASXL1 mutation conditions, using the provided reference files. Identify the top 10 most significantly enriched GO terms by adjusted p-value and visualize them in a bar plot."
"a","a-11-7","top_gene.png","png","gene expression as x-axis, inverted essentiality score as y-axis, Spearman r and adjusted p-value in title","Scatter plot of expression vs. inverted essentiality for the top gene; Spearman r annotation must be visible; marker styling and colors may differ.",TRUE,"image: always needs scientific-content judging","Analyze the Spearman correlation between gene expression and gene essentiality scores across common cell lines. Identify the top 5 and bottom 5 correlated genes and visualize the scatter plot of the top correlated gene."
"a","a-11-8","integrated_network.png","png","two-layer network; gene and miRNA nodes, cross-layer hub genes highlighted","Two-layer network with gene and miRNA nodes; cross-layer hubs must be visually distinguished; layout and colors may differ.",TRUE,"image: always needs scientific-content judging","Integrate a PPI network and a miRNA-target network into a unified multi-layer network and identify cross-layer hub genes as genes whose degree centrality in the unified network exceeds the 90th percentile threshold."
"a","a-11-9","community_network.png","png","network graph; nodes colored by community, modularity score annotated","Nodes must be colored by community with gene labels visible; community assignment, color scheme, and layout may differ.",TRUE,"image: always needs scientific-content judging","Detect communities in a biological network using the Louvain algorithm, and evaluate community quality with modularity score."
"a","a-12-1","phylo_tree.png","png","phylogenetic tree; leaf nodes labeled by sequence ID, branches scaled by evolutionary distance","HOXA1_3 and HOXA1_4 must be visually grouped as a sister clade with branches scaled by evolutionary distance; HOXA1_4's branch must be visibly longer than all others; layout, orientation, and styling may differ.",TRUE,"image: always needs scientific-content judging","Given a FASTA file of orthologous gene sequences, build a maximum-likelihood phylogeny and generate visualization."
"a","a-12-2","IL2R_tree.png","png","phylogenetic tree; leaf nodes labeled by taxon name, branches scaled by evolutionary distance","Phylogenetic tree with all input taxa as labeled leaf nodes; topology must match the reference; branch lengths, colors, and layout may differ. IL2RA-related human, rat, mouse and pig, cattle, sheep form sister clades respectively, and IL2RB-related human, rat, mouse form a sister clade.",TRUE,"image: always needs scientific-content judging","Given a FASTA file of protein sequences from multiple species, build a phylogenetic tree and save a visualization as a PNG."
"a","a-12-5","tree.png","png","group as x-axis, treeness value as y-axis, annotated with Mann-Whitney U statistic and p-value","Violin plot of treeness values for animals and fungi with a Mann-Whitney U statistic and p-value annotation matching the reference; colors and layout may differ.",TRUE,"image: always needs scientific-content judging","Analyze the distribution of treeness values for single-copy orthologous genes in animals and fungi. Perform a Mann-Whitney U test to compare the two groups and generate a violin plot annotated with the test statistic and p-value."
"a","a-14-4","human_tRNA_Phe_dp.ps.png","png","nucleotide position as x-axis, nucleotide position as y-axis, cell color as sqrt(base-pairing probability)","Square heatmap with nucleotide positions on both axes and cells colored by sqrt(base-pairing probability); color scheme and styling may differ.",TRUE,"image: always needs scientific-content judging","Predict the secondary structure of an RNA sequence using RNAfold (with the -p flag to generate a dot-plot file), then visualize the square root of base-pairing probabilities as a square heatmap."
"a","a-15-7","cluster.png","png","PC1 as x-axis, PC2 as y-axis, points colored by cluster","Points colored by cluster membership; axis labels, color scheme, and point styling may differ.",TRUE,"image: always needs scientific-content judging","Use iClusterPlus to integrate RNA-seq, DNA variant, and copy number data for unsupervised clustering and to identify three molecular subtypes. Visualize the identified molecular subtypes using PCA."
"a","a-15-8","umap_multiple.png","png","UMAP1 as x-axis, UMAP2 as y-axis; left panel ATAC-only clusters, right panel joint RNA+ATAC clusters","Plot must show two UMAP panels -- one for ATAC-only clusters and one for joint RNA+ATAC clusters -- with cells colored by cluster assignment; panel arrangement, color scheme, and point styling may differ.",TRUE,"image: always needs scientific-content judging","Using Signac and Seurat, jointly analyze a single-cell multi-omic dataset measuring chromatin accessibility (scATAC-seq) and gene expression (scRNA-seq) in the same cells; then generate a UMAP based solely on the chromatin accessibility data and a joint UMAP integrating both modalities."
"a","a-15-9","wgcna_module_trait_heatmap.png","png","heatmap; modules as rows, phenotype as columns, cells colored by Pearson correlation with correlation values overlaid","Color grid of module-trait correlations with numeric values overlaid in each cell; axis labels, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","Use R and the WGCNA package to identify co-expression modules from combined RNA and protein expression data, and test which modules are associated with disease status (the 'Disease' column in Pheno.csv). Merge the two datasets by row-binding RNA and protein features. Report the Pearson correlation of each module eigengene with Disease and its p-value."
"a","a-2-15","plot.png","png","chr7 position as x-axis, -log10(p-value) as y-axis, top 3 SNPs highlighted and labeled with rsIDs","Scatter plot must show -log10(p-values) vs. chromosomal position for all chromosome 7 SNPs, with the top 3 most significant SNPs distinctly highlighted and labeled with their rsIDs; colors, fonts, and pixel rendering may differ.",TRUE,"image: always needs scientific-content judging","Generate a GWAS association scatter plot for chromosome 7 using the provided summary statistics file. Plot the -log10(p-value) for all SNPs on chromosome 7, highlight the top 3 most significant SNPs in a different color, and label them with their rsIDs."
"a","a-2-5","circos.png","png","circos plot; chromosomes as sectors, pairwise co-occurrence frequency as ribbon width","Circos plot must show chromosomal sectors with ribbon links whose width encodes pairwise mutation co-occurrence frequency; visual styling, colors, and fonts may differ.",TRUE,"image: always needs scientific-content judging","Generate a circos plot showing the co-occurrence of mutations in this cancer cohort"
"a","a-2-7","ideogram.png","png","chr8 ideogram with Giemsa-stained band coloring","Ideogram must depict chromosome 8 with cytogenetic band coloring per standard Giemsa-stain convention (dark/light/centromere/heterochromatin bands); pixel rendering, fonts, and exact color shades may differ.",TRUE,"image: always needs scientific-content judging","Can you draw a chromosome ideogram for human chr8?"
"a","a-3-11","Transcript*.svg","svg","RNA secondary structure diagram per transcript","Structure must match the reference base-pair connectivity; visual styling and layout may differ.",TRUE,"image: always needs scientific-content judging","Predict RNA secondary structures for the small RNAs in the provided FASTA file using ViennaRNA. Generate SVG images of the structures and report the dot-bracket notation with minimum free energies."
"a","a-3-4","volcano_plot.png","png","log2FoldChange as x-axis, -log10(padj) as y-axis, points colored by significance","Points must be colored to distinguish significant from non-significant genes (padj < 0.05); styling may differ.",TRUE,"image: always needs scientific-content judging","Use DESeq2 for differential analysis and plot results as a volcano plot."
"a","a-4-8","segmentation_model_plot.png","png","genomic position as x-axis, signal as y-axis, one panel per dataset","Plot must show a 2-peak segmentation model for each ChIP-seq dataset with genomic position on the x-axis and coverage signal on the y-axis; colors, fonts, and panel arrangement may differ.",TRUE,"image: always needs scientific-content judging","Compute and visualize the optimal segmentation model with 2 peaks for each ChIP-seq data set."
"a","a-5-2","umap.png","png","UMAP 1 as x-axis, UMAP 2 as y-axis, points colored and labeled by cluster","Plot must show a UMAP with cells colored and labeled by cluster identity; exact cluster count, color palette, and pixel layout may differ.",TRUE,"image: always needs scientific-content judging","Perform clustering on single-cell RNA-seq data after dimensionality reduction and visualize the results as a labeled UMAP plot."
