task_id,candidate,judge_score,judge_confidence,judge_verdict,judge_rationale
a-10-2,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
a-10-2,wrong,0.0,1.0,not_equivalent,"Candidate is a statistical power vs. sample size curve; guideline requires an ROC curve (TPR vs FPR) for the PRS model. Different plot type and axes entirely."
a-12-2,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
a-12-2,wrong,0.0,1.0,not_equivalent,"Candidate is a Manhattan plot of GWAS -log10(p) by chromosome; guideline requires a phylogenetic tree with labeled taxa and specified clade topology. No tree structure present at all."
a-2-7,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
a-2-7,wrong,0.0,1.0,not_equivalent,"Candidate is an MCMC trace/density diagnostic grid; guideline requires a chromosome 8 ideogram with Giemsa-stain band coloring. Unrelated visualization."
a-5-8,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
a-5-8,wrong,0.0,1.0,not_equivalent,"Candidate is a lollipop plot of top differentially expressed genes by log2FC; guideline requires a UMAP colored by singlet/doublet classification. No UMAP embedding present."
b-3-1,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
b-3-1,wrong,0.0,1.0,not_equivalent,"Candidate is a bar chart of EGFR-vs-IC50 correlation per drug; guideline requires a clustered heatmap with row Z-score coloring and dendrograms on both axes. No heatmap or dendrogram present."
b-3-7,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
b-3-7,wrong,0.0,1.0,not_equivalent,"Candidate is a clustered gene-expression heatmap with dendrograms; guideline requires a box plot of TP53 expression across tissue types with jittered points. Wrong plot family entirely."
b-7-2,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
b-7-2,wrong,0.0,1.0,not_equivalent,"Candidate is a single dose-response curve with an IC50 annotation; guideline requires paired train/test ROC curves with AUC annotations on TPR vs FPR axes. Different task and axes."
b-11-5,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
b-11-5,wrong,0.0,1.0,not_equivalent,"Candidate is a pairwise Pearson correlation matrix heatmap; guideline requires an MCMC trace/density grid for hierarchical-model parameters. No sampling diagnostics present."
b-6-9,correct,1.0,1.0,equivalent,"Identical file to the reference (byte-for-byte copy)."
b-6-9,wrong,0.0,1.0,not_equivalent,"Candidate is a PNG correlation-matrix image; guideline requires a text file containing labeled Stress and Between_Within_Ratio numeric values. Wrong file type, the required values cannot even be extracted."
