"task_id","candidate","path","type","question","description","guidelines"
"b-6-9","A","data/judge_calibration/pilot/b-6-9/candidate_wrong.png","txt","Apply 2D MDS (random_state=42) to a z-score standardized gene expression dataset with known experimental groups. Calculate the ratio of between-group to within-group Euclidean distances in the 2D embedding, and the stress value defined as sqrt(sum((d_orig - d_mds)^2) / sum(d_orig^2)) where d_orig are pairwise Euclidean distances in the standardized high-dimensional space and d_mds are pairwise distances in the 2D embedding.","two labeled values: Stress and Between_Within_Ratio","Use semantic comparison. Verify that the output contains the Stress and Between_Within_Ratio values and that they are semantically equivalent to the reference; values should agree within approximately 5%; label names and whitespace differences are acceptable."
"b-6-9","B","data/judge_calibration/pilot/b-6-9/candidate_correct.txt","txt","Apply 2D MDS (random_state=42) to a z-score standardized gene expression dataset with known experimental groups. Calculate the ratio of between-group to within-group Euclidean distances in the 2D embedding, and the stress value defined as sqrt(sum((d_orig - d_mds)^2) / sum(d_orig^2)) where d_orig are pairwise Euclidean distances in the standardized high-dimensional space and d_mds are pairwise distances in the 2D embedding.","two labeled values: Stress and Between_Within_Ratio","Use semantic comparison. Verify that the output contains the Stress and Between_Within_Ratio values and that they are semantically equivalent to the reference; values should agree within approximately 5%; label names and whitespace differences are acceptable."
"b-3-7","A","data/judge_calibration/pilot/b-3-7/candidate_correct.png","png","Create a box plot showing the distribution of TP53 expression levels across different tissue types. Include jittered data points (swarm or strip), proper axis labels, and a title.","tissue type as x-axis, TP53 expression as y-axis, jittered data points overlaid","Box plot must show TP53 expression across tissue types with individual data points overlaid as jittered points; axis labels, color scheme, and jitter details may differ."
"b-3-7","B","data/judge_calibration/pilot/b-3-7/candidate_wrong.png","png","Create a box plot showing the distribution of TP53 expression levels across different tissue types. Include jittered data points (swarm or strip), proper axis labels, and a title.","tissue type as x-axis, TP53 expression as y-axis, jittered data points overlaid","Box plot must show TP53 expression across tissue types with individual data points overlaid as jittered points; axis labels, color scheme, and jitter details may differ."
"b-3-1","A","data/judge_calibration/pilot/b-3-1/candidate_wrong.png","png","I have a gene expression matrix in CSV format. Generate a clustered heatmap using row-wise Z-score normalization and default hierarchical clustering. Label samples and genes clearly.","clustered heatmap; genes as rows, samples as columns, cells colored by row-wise Z-score","Heatmap must show row Z-score coloring with hierarchical clustering dendrograms on both axes and labeled genes and samples; color palette and font size may differ."
"b-3-1","B","data/judge_calibration/pilot/b-3-1/candidate_correct.png","png","I have a gene expression matrix in CSV format. Generate a clustered heatmap using row-wise Z-score normalization and default hierarchical clustering. Label samples and genes clearly.","clustered heatmap; genes as rows, samples as columns, cells colored by row-wise Z-score","Heatmap must show row Z-score coloring with hierarchical clustering dendrograms on both axes and labeled genes and samples; color palette and font size may differ."
"a-10-2","A","data/judge_calibration/pilot/a-10-2/candidate_correct.png","png","Using the GWAS summary statistics and genotype data, calculate Polygenic Risk Scores (PRS) with PLINK. Evaluate the PRS predictive performance for the binary phenotype by plotting an ROC curve and computing the AUC value.","FPR as x-axis, TPR as y-axis","ROC curve must show true positive rate vs. false positive rate for the PRS model; axis labels, colors, and styling may differ."
"a-10-2","B","data/judge_calibration/pilot/a-10-2/candidate_wrong.png","png","Using the GWAS summary statistics and genotype data, calculate Polygenic Risk Scores (PRS) with PLINK. Evaluate the PRS predictive performance for the binary phenotype by plotting an ROC curve and computing the AUC value.","FPR as x-axis, TPR as y-axis","ROC curve must show true positive rate vs. false positive rate for the PRS model; axis labels, colors, and styling may differ."
"a-5-8","A","data/judge_calibration/pilot/a-5-8/candidate_correct.png","png","Given a folder of single-cell RNA-seq expression data output by cellranger, create a Seurat object with standard preprocessing, then perform doublet detection using scDblFinder and visualize singlet/doublet classification on a UMAP.","UMAP 1 as x-axis, UMAP 2 as y-axis, cells colored by singlet/doublet classification","Plot must show a UMAP with cells colored by singlet/doublet classification; color palette and exact layout may differ."
"a-5-8","B","data/judge_calibration/pilot/a-5-8/candidate_wrong.png","png","Given a folder of single-cell RNA-seq expression data output by cellranger, create a Seurat object with standard preprocessing, then perform doublet detection using scDblFinder and visualize singlet/doublet classification on a UMAP.","UMAP 1 as x-axis, UMAP 2 as y-axis, cells colored by singlet/doublet classification","Plot must show a UMAP with cells colored by singlet/doublet classification; color palette and exact layout may differ."
